Brand,Name,Category,Price,Curl Pattern,Hair Type,Vegan?,"Weight (L,M,H)",Helpful Areas
InnerSense,Sweet Spirit Leave In Conditioner,Leave-In,28.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
InnerSense,I Create Shine,Oil,40.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,Shine
It's A 10 ,Miracle Leave-In Product,Leave-In,40.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydration, Repair"
Fenty Beauty,The Homecurl Curl-Defining Cream,Curl Cream,28.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Definition, Hydrating, Nourish"
Fenty Beauty,The Rich One Moisture Repair Shampoo,Shampoo,29.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish, Repair"
Fenty Beauty,The Rich One Moisture Repair Conditioner,Conditioner,29.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish, Repair"
Carol's Daughter,Goddess Strength Divine Strength Leave In Cream With Castor Oil,Leave-In,10.90,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Hydrating, Nourish"
Carol's Daughter,Black Vanilla Moisture & Hold Jelly,Gel,13.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A","Thin, Medium, Thick",No,M,Definition
Carol's Daughter,Goddess Strength 7 Oil Blend Scalp & Hair Oil,Oil,11.97,"2A, 2B, 2C, 3A, 3B, 3C, 4A","Thin, Medium, Thick",Yes,M,"Hydrating, Nourish"
Pattern,Hydration Shampoo,Shampoo,21.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Pattern,Intensive Conditioner,Conditioner,28.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish"
Pattern,Leave-In Conditioner,Leave-In,28.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
Pattern,Styling Cream,Curl Cream,28.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",Yes,M,Definition
Pattern,Strong Hold Gel,Gel,28.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,Definition
Pattern,Jojoba Oil Blend,Oil,28.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
Ouai,Hydrating Curl Cream,Curl Cream,32.00,"3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish"
Ouai,Medium Hair Shampoo,Shampoo,32.00,"3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish"
Ouai,Medium Hair Conditioner,Conditioner,32.00,"3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish"
Aussie,Instant Freeze Mousse,Mousse/Foam,3.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,Definition
Aussie,Miracle Curls Frizz Free Curl Cream,Curl Cream,4.99,"3A, 3B, 3C","Medium, Thick",No,L,"Hydrating, Nourish"
Gisou,Gisou Honey Infused Hair Oil,Oil,25.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Shine, Nourish"
